region,caseNumber,caseNumberFull,consulate,status,submitDate,statusDate,Issued,AP,Ready,Refused,InTransit,Transfer,NVC,potentialAP
AF,69,2013AF69,LGS,Issued,03-Nov-2011,22-Mar-2013,1,0,0,0,0,0,0,0
AF,70,2013AF70,LGS,Ready,31-Oct-2011,10-Sep-2013,0,0,1,0,0,0,0,0
AF,71,2013AF71,None,None,None,None,0,0,0,0,0,0,0,0
AF,72,2013AF72,LGS,Refused,21-Oct-2011,05-Aug-2013,0,0,0,2,0,0,0,0
AF,73,2013AF73,None,None,None,None,0,0,0,0,0,0,0,0
AF,74,2013AF74,None,None,None,None,0,0,0,0,0,0,0,0
AF,75,2013AF75,None,None,None,None,0,0,0,0,0,0,0,0
AF,76,2013AF76,None,None,None,None,0,0,0,0,0,0,0,0
AF,77,2013AF77,LGS,Issued,16-Oct-2011,10-Jun-2013,1,0,0,0,0,0,0,0
AF,78,2013AF78,None,None,None,None,0,0,0,0,0,0,0,0
AF,79,2013AF79,None,None,None,None,0,0,0,0,0,0,0,0
AF,80,2013AF80,None,None,None,None,0,0,0,0,0,0,0,0
AF,81,2013AF81,TKY,Issued,05-Oct-2011,29-Mar-2013,4,0,1,0,0,0,0,0
AF,82,2013AF82,LGS,Issued,05-Oct-2011,23-Jul-2013,1,0,0,0,0,0,0,0
AF,83,2013AF83,ACC,Ready,03-Nov-2011,16-Sep-2013,0,0,3,0,0,0,0,0
AF,84,2013AF84,None,None,None,None,0,0,0,0,0,0,0,0
AF,85,2013AF85,LGS,Ready,28-Oct-2011,18-Sep-2013,0,0,2,0,0,0,0,0
AF,86,2013AF86,LGS,Refused,05-Oct-2011,19-Jun-2013,0,0,0,2,0,0,0,0
AF,87,2013AF87,None,None,None,None,0,0,0,0,0,0,0,0
AF,88,2013AF88,LGS,Refused,03-Nov-2011,06-Mar-2013,0,0,0,2,0,0,0,0
AF,89,2013AF89,FTN,Refused,16-Oct-2011,15-Sep-2013,0,0,0,1,0,0,0,0
AF,90,2013AF90,None,None,None,None,0,0,0,0,0,0,0,0
AF,91,2013AF91,None,None,None,None,0,0,0,0,0,0,0,0
AF,92,2013AF92,None,None,None,None,0,0,0,0,0,0,0,0
AF,93,2013AF93,ACC,Refused,04-Nov-2011,21-Mar-2013,0,0,0,1,0,0,0,0
AF,94,2013AF94,None,None,None,None,0,0,0,0,0,0,0,0
AF,95,2013AF95,ADD,Issued,23-Oct-2011,05-Feb-2013,2,0,0,0,0,0,0,0
AF,96,2013AF96,MRV,Issued,02-Nov-2011,16-Sep-2013,2,0,0,0,0,0,0,0
AF,97,2013AF97,None,None,None,None,0,0,0,0,0,0,0,0
AF,98,2013AF98,None,None,None,None,0,0,0,0,0,0,0,0
AF,99,2013AF99,None,None,None,None,0,0,0,0,0,0,0,0
AF,100,2013AF100,NRB,Issued,10-Oct-2011,29-May-2013,5,0,0,0,0,0,0,0
AF,101,2013AF101,None,None,None,None,0,0,0,0,0,0,0,0
AF,102,2013AF102,None,None,None,None,0,0,0,0,0,0,0,0
AF,103,2013AF103,None,None,None,None,0,0,0,0,0,0,0,0
AF,104,2013AF104,None,None,None,None,0,0,0,0,0,0,0,0
AF,105,2013AF105,None,None,None,None,0,0,0,0,0,0,0,0
AF,106,2013AF106,None,None,None,None,0,0,0,0,0,0,0,0
AF,107,2013AF107,None,None,None,None,0,0,0,0,0,0,0,0
AF,108,2013AF108,None,None,None,None,0,0,0,0,0,0,0,0
AF,109,2013AF109,None,None,None,None,0,0,0,0,0,0,0,0
AF,110,2013AF110,LGS,Refused,30-Oct-2011,22-Jul-2013,0,0,0,2,0,0,0,0
AF,111,2013AF111,None,None,None,None,0,0,0,0,0,0,0,0
AF,112,2013AF112,CRO,Refused,01-Nov-2011,14-Apr-2013,0,0,0,1,0,0,0,0
AF,113,2013AF113,ACC,Refused,24-Oct-2011,26-Sep-2013,0,0,1,1,0,0,0,0
AF,114,2013AF114,KIN,Issued,22-Oct-2011,10-Jul-2013,1,0,0,2,0,0,0,0
AF,115,2013AF115,None,None,None,None,0,0,0,0,0,0,0,0
AF,116,2013AF116,None,None,None,None,0,0,0,0,0,0,0,0
AF,117,2013AF117,None,None,None,None,0,0,0,0,0,0,0,0
AF,118,2013AF118,None,None,None,None,0,0,0,0,0,0,0,0
AF,119,2013AF119,LGS,Issued,25-Oct-2011,15-Aug-2013,1,0,0,0,0,0,0,0
AF,120,2013AF120,None,None,None,None,0,0,0,0,0,0,0,0
AF,121,2013AF121,None,None,None,None,0,0,0,0,0,0,0,0
AF,122,2013AF122,None,None,None,None,0,0,0,0,0,0,0,0
AF,123,2013AF123,None,None,None,None,0,0,0,0,0,0,0,0
AF,124,2013AF124,None,None,None,None,0,0,0,0,0,0,0,0
AF,125,2013AF125,None,None,None,None,0,0,0,0,0,0,0,0
AF,126,2013AF126,ACC,Ready,04-Nov-2011,10-Jul-2013,0,0,1,0,0,0,0,0
AF,127,2013AF127,None,None,None,None,0,0,0,0,0,0,0,0
AF,128,2013AF128,LGS,Refused,20-Oct-2011,16-Jul-2013,0,0,0,1,0,0,0,0
AF,129,2013AF129,NRB,Ready,10-Oct-2011,22-Jan-2013,0,0,1,0,0,0,0,0
AF,130,2013AF130,None,None,None,None,0,0,0,0,0,0,0,0
AF,131,2013AF131,KIN,Issued,31-Oct-2011,08-Jan-2013,1,0,0,0,0,0,0,0
AF,132,2013AF132,RID,Issued,03-Nov-2011,31-Dec-2012,1,0,0,0,0,0,0,0
AF,133,2013AF133,LGS,Issued,27-Oct-2011,06-Mar-2013,1,0,0,0,0,0,0,0
AF,134,2013AF134,None,None,None,None,0,0,0,0,0,0,0,0
AF,135,2013AF135,None,None,None,None,0,0,0,0,0,0,0,0
AF,136,2013AF136,None,None,None,None,0,0,0,0,0,0,0,0
AF,137,2013AF137,ADD,Issued,29-Oct-2011,12-Feb-2013,1,0,0,0,0,0,0,0
AF,138,2013AF138,LGS,Refused,01-Nov-2011,18-Jun-2013,0,0,0,1,0,0,0,0
AF,139,2013AF139,None,None,None,None,0,0,0,0,0,0,0,0
AF,140,2013AF140,None,None,None,None,0,0,0,0,0,0,0,0
AF,141,2013AF141,None,None,None,None,0,0,0,0,0,0,0,0
AF,142,2013AF142,None,None,None,None,0,0,0,0,0,0,0,0
AF,143,2013AF143,None,None,None,None,0,0,0,0,0,0,0,0
AF,144,2013AF144,None,None,None,None,0,0,0,0,0,0,0,0
AF,145,2013AF145,None,None,None,None,0,0,0,0,0,0,0,0
AF,146,2013AF146,None,None,None,None,0,0,0,0,0,0,0,0
AF,147,2013AF147,None,None,None,None,0,0,0,0,0,0,0,0
AF,148,2013AF148,None,None,None,None,0,0,0,0,0,0,0,0
AF,149,2013AF149,None,None,None,None,0,0,0,0,0,0,0,0
AF,150,2013AF150,None,None,None,None,0,0,0,0,0,0,0,0
AF,151,2013AF151,ADD,Issued,03-Nov-2011,06-Sep-2013,3,0,0,0,0,0,0,0
AF,152,2013AF152,None,None,None,None,0,0,0,0,0,0,0,0
AF,153,2013AF153,None,None,None,None,0,0,0,0,0,0,0,0
AF,154,2013AF154,LGS,Issued,28-Oct-2011,20-Mar-2013,2,0,0,0,0,0,0,0
AF,155,2013AF155,None,None,None,None,0,0,0,0,0,0,0,0
AF,156,2013AF156,None,None,None,None,0,0,0,0,0,0,0,0
AF,157,2013AF157,None,None,None,None,0,0,0,0,0,0,0,0
